"Name","lDAPDisplayName","Created","Modified","attributeID","attributeSyntax"
"Dns-Notify-Secondaries","dnsNotifySecondaries","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.381","2.5.5.9"
"ms-DS-Az-Last-Imported-Biz-Rule-Path","msDS-AzLastImportedBizRulePath","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1803","2.5.5.12"
"MS-SQL-Vines","mS-SQL-Vines","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1379","2.5.5.12"
"Possible-Inferiors","possibleInferiors","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.915","2.5.5.2"
"X509-Cert","userCertificate","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","2.5.4.36","2.5.5.10"
"ms-DS-Assigned-AuthN-Policy-Silo-BL","msDS-AssignedAuthNPolicySiloBL","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2286","2.5.5.1"
"DNS-Property","dNSProperty","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1306","2.5.5.10"
"ms-DS-Az-LDAP-Query","msDS-AzLDAPQuery","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1792","2.5.5.12"
"MS-SQL-Status","mS-SQL-Status","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1380","2.5.5.16"
"Post-Office-Box","postOfficeBox","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","2.5.4.18","2.5.5.12"
"UnixUserPassword","unixUserPassword","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1910","2.5.5.10"
"ms-DS-AuthN-Policy-Silo-Members","msDS-AuthNPolicySiloMembers","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2287","2.5.5.1"
"Dns-Record","dnsRecord","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.382","2.5.5.10"
"ms-DS-Az-Major-Version","msDS-AzMajorVersion","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1824","2.5.5.9"
"MS-SQL-LastUpdatedDate","mS-SQL-LastUpdatedDate","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1381","2.5.5.12"
"Postal-Address","postalAddress","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","2.5.4.16","2.5.5.12"
"UidNumber","uidNumber","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.3.6.1.1.1.1.0","2.5.5.9"
"ms-DS-AuthN-Policy-Silo-Members-BL","msDS-AuthNPolicySiloMembersBL","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2288","2.5.5.1"
"Dns-Root","dnsRoot","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.28","2.5.5.12"
"ms-DS-Az-Minor-Version","msDS-AzMinorVersion","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1825","2.5.5.9"
"MS-SQL-InformationURL","mS-SQL-InformationURL","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1382","2.5.5.12"
"Postal-Code","postalCode","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","2.5.4.17","2.5.5.12"
"GidNumber","gidNumber","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.3.6.1.1.1.1.1","2.5.5.9"
"ms-DS-User-AuthN-Policy","msDS-UserAuthNPolicy","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2289","2.5.5.1"
"Dns-Secure-Secondaries","dnsSecureSecondaries","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.380","2.5.5.9"
"ms-DS-Az-Operation-ID","msDS-AzOperationID","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1800","2.5.5.9"
"MS-SQL-ConnectionURL","mS-SQL-ConnectionURL","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1383","2.5.5.12"
